,STATION_ID,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,LATITUDE,LONGITUDE,OBJECTID,starting_at_avg_ride_duration,count_rides_starting_at,count_of_member_rides_starting_at,ending_at_avg_ride_duration,count_rides_ending_at,count_of_member_rides_ending_at,station_name,weight
349,08251ded-1f3f-11e7-bf6b-3863bb334450,1,0,11,3,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,38.885801,-77.097745,172453662,0 days 00:18:46.611547,2806,1840,0 days 00:11:56.888765,2697,1711,Fairfax Dr & Wilson Blvd,6390.75
350,0824f08b-1f3f-11e7-bf6b-3863bb334450,12,0,3,3,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.86559,-76.952103,172453767,0 days 00:29:55.118343,169,71,0 days 00:16:59.305556,144,72,Fairfax Village,348.75
351,3735d025-7e82-467c-8844-29d08d66b0e4,8,0,4,0,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,38.885434,-77.173605,172453500,0 days 00:28:01.424754,711,481,0 days 00:20:09.527397,730,485,Falls Church City Hall / Park Ave & Little Falls St,1682.5
352,0825762e-1f3f-11e7-bf6b-3863bb334450,11,0,8,0,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,39.096312,-77.192672,172451772,0 days 00:28:09.469298,228,57,0 days 00:24:58,217,65,Fallsgrove Blvd & Fallsgrove Dr,475.5
353,08259347-1f3f-11e7-bf6b-3863bb334450,6,0,9,1,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,39.099376,-77.188014,172453570,0 days 01:07:00.261062,226,25,0 days 00:44:02.400000,220,25,Fallsgrove Dr & W Montgomery Ave,458.5
354,0825b6a9-1f3f-11e7-bf6b-3863bb334450,3,0,12,2,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.997033,-77.025608,172453964,0 days 00:28:55.540559,1467,752,0 days 00:22:49.190378,1455,751,Fenton St & Ellsworth Dr ,3297.75
355,0825ac97-1f3f-11e7-bf6b-3863bb334450,7,0,4,2,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,38.989724,-77.023854,172451791,0 days 00:29:55.015504,1032,581,0 days 00:24:19.453801,855,541,Fenton St & Gist Ave,2167.5
356,08257325-1f3f-11e7-bf6b-3863bb334450,9,0,6,1,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.985404,-77.023082,172451743,0 days 00:21:17.773634,1153,695,0 days 00:19:14.394578,996,611,Fenton St & New York Ave ,2475.5
357,08254529-1f3f-11e7-bf6b-3863bb334450,3,0,12,2,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.954812,-77.082426,172453517,0 days 00:20:04.653617,1175,815,0 days 00:18:23.476821,1057,722,Fessenden St & Wisconsin Ave NW,2616.25
358,a8ffa826-a14d-4bb0-ab33-de6b8c34d190,4,0,7,1,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,38.83863,-77.116206,172453422,0 days 00:36:57.919118,272,151,0 days 00:32:31.588000,250,150,Fillmore & Bisdorf,597.25
359,889571f8-5774-4097-a31f-4b6e3f5b4381,9,0,7,1,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,16,38.817019,-77.050105,172451804,0 days 00:14:45.715903,1767,908,0 days 00:15:09.919627,1717,888,First St & Fayette St,3933.0
360,66cac629-904e-4186-8431-44983be40985,8,0,6,0,1,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,39.0629,-77.113454,172453563,0 days 00:38:31.230769,182,106,0 days 00:42:52.960784,153,91,Fishers Ln & Rock Creek Mill Rd,384.25
361,0825b42a-1f3f-11e7-bf6b-3863bb334450,10,0,5,0,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,39.076331,-77.141378,172453986,0 days 01:44:46.919786,187,92,0 days 01:27:13.023923,209,88,Fleet St & Ritchie Pkwy,441.0
362,d4e8307d-5fb2-4ece-a66a-1522b1ebf79c,9,0,5,1,1,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.782633,-77.016059,172453722,0 days 02:10:36.170732,861,88,0 days 00:41:28.497455,786,104,Fleet St & Waterfront St,1695.0
363,0824960b-1f3f-11e7-bf6b-3863bb334450,5,0,10,4,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.9126,-77.0135,172453905,0 days 00:18:16.866865,13445,9067,0 days 00:15:51.925322,12507,8354,Florida Ave & R St NW,30307.25
364,c9760156-83bd-4a7d-9dfa-85d7ee463f62,11,0,4,0,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.921641,-76.955687,172453855,0 days 00:29:24.872458,541,253,0 days 00:29:12.691837,490,240,Fort Lincoln Dr & 33rd Pl NE,1154.25
365,7641069c-42a6-4e3e-9769-7df51da6978d,18,0,1,1,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,38.857369,-76.977688,172453567,0 days 00:19:05.087838,148,50,0 days 00:19:18.417910,134,44,Fort Stanton Rec Center,305.5
366,0825e27a-1f3f-11e7-bf6b-3863bb334450,10,0,8,0,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,38.952369,-77.002721,172453812,0 days 00:20:36.254713,7797,4813,0 days 00:15:44.073800,7290,4238,Fort Totten Metro,17349.75
