X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-77.0945896319286,38.9771048519798,Offutt Ln & Chevy Chase Dr,classic,0825b2e7-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:32+00,9,0,2,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",44,DCA-CABI,,38.977093,-77.094589,2024/04/01 01:52:28+00,172451650
-76.9135622569639,38.8918115122125,61st St & Banks Pl NE,classic,08263cab-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:32+00,10,0,9,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.891805,-76.913563,2024/04/01 01:52:28+00,172451651
-76.9884252101572,38.9881055335589,New Hampshire & Kirklynn Ave,classic,082650b1-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:43+00,2,0,13,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",44,DCA-CABI,,38.988101,-76.988422,2024/04/01 01:52:28+00,172451652
-77.0007055760562,38.9073198538941,4th & Florida Ave NE,classic,21cdfe0d-71ad-4302-a003-3cfc0d355af9,,2024/04/01 01:49:44+00,1,1,16,11,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.907316,-77.000698,2024/04/01 01:52:28+00,172451653
-77.0007757683106,39.0004833646624,Garland Ave & Walden Rd,classic,a3761e59-db36-4b61-8bb3-8d523af69b96,,2024/04/01 01:49:40+00,10,0,5,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",44,DCA-CABI,,39.00048,-77.00077,2024/04/01 01:52:28+00,172451654
-77.0640137061059,38.8434327558161,Mount Vernon Ave & Four Mile Run Park,classic,08262494-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:41+00,8,0,7,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,DCA-CABI,,38.843422,-77.064016,2024/04/01 01:52:28+00,172451655
-77.0383271437103,38.8881077352928,17th St & Independence Ave SW,classic,082623bf-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:39+00,12,0,3,0,3,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,18,"KEY,CREDITCARD",42,DCA-CABI,,38.888097,-77.038325,2024/04/01 01:52:28+00,172451656
-77.0221518979098,38.912722762215,7th & R St NW / Shaw Library,classic,082514b8-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:40+00,6,4,0,0,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.912719,-77.022155,2024/04/01 01:52:28+00,172451657
-77.1277769416682,38.9042592070799,Marymount University / Yorktown Blvd & 26th St N,classic,5eb5b5a7-db69-4d8a-a16a-604678a544b7,,2024/04/01 01:49:43+00,6,0,9,6,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,DCA-CABI,,38.904252,-77.127776,2024/04/01 01:52:28+00,172451658
-77.3497701102766,38.9637922366201,N Shore Dr & Wainwright Dr,classic,c98241f4-a3c0-4eb8-86bd-dd057baa0192,,2024/04/01 01:49:36+00,3,0,9,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,DCA-CABI,,38.963782,-77.349764,2024/04/01 01:52:28+00,172451659
-77.0019505600023,38.9004194405368,3rd & H St NE,classic,0824bce1-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:36+00,11,0,8,4,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.900412,-77.001949,2024/04/01 01:52:28+00,172451660
-77.1964488648481,39.1031008884906,Medical Center Dr & Key West Ave,classic,0825df01-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:44+00,12,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",43,DCA-CABI,,39.103091,-77.196442,2024/04/01 01:52:28+00,172451661
-77.0934836893771,38.8378546568809,31st St & S Woodrow St,classic,0825be94-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:46+00,4,0,7,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",41,DCA-CABI,,38.837846,-77.093478,2024/04/01 01:52:28+00,172451662
